defaultBuiltInRoles,description,mode,name,signature
"[reader,editor,publisher,architect,admin]",The All Pairs Shortest Path (APSP) calculates the shortest (weighted) path between all pairs of nodes.,READ,gds.alpha.allShortestPaths.stream,"gds.alpha.allShortestPaths.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (sourceNodeId :: INTEGER?, targetNodeId :: INTEGER?, distance :: FLOAT?)"
"[reader,editor,publisher,architect,admin]","ArticleRank is a variant of the Page Rank algorithm, which measures the transitive influence or connectivity of nodes.",READ,gds.alpha.articleRank.stream,"gds.alpha.articleRank.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeId :: INTEGER?, score :: FLOAT?)"
"[editor,publisher,architect,admin]","ArticleRank is a variant of the Page Rank algorithm, which measures the transitive influence or connectivity of nodes.",WRITE,gds.alpha.articleRank.write,"gds.alpha.articleRank.write(graphName :: ANY?, configuration = {} :: MAP?) :: (nodes :: INTEGER?, iterations :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, dampingFactor :: FLOAT?, writeProperty :: STRING?, centralityDistribution :: MAP?)"
"[reader,editor,publisher,architect,admin]","BFS is a traversal algorithm, which explores all of the neighbor nodes at the present depth prior to moving on to the nodes at the next depth level.",READ,gds.alpha.bfs.stream,"gds.alpha.bfs.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (startNodeId :: INTEGER?, nodeIds :: LIST? OF INTEGER?, path :: PATH?)"
"[reader,editor,publisher,architect,admin]",Harmonic centrality is a way of detecting nodes that are able to spread information very efficiently through a graph.,READ,gds.alpha.closeness.harmonic.stream,"gds.alpha.closeness.harmonic.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeId :: INTEGER?, centrality :: FLOAT?)"
"[editor,publisher,architect,admin]",Harmonic centrality is a way of detecting nodes that are able to spread information very efficiently through a graph.,WRITE,gds.alpha.closeness.harmonic.write,"gds.alpha.closeness.harmonic.write(graphName :: ANY?, configuration = {} :: MAP?) :: (nodes :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, writeProperty :: STRING?, centralityDistribution :: MAP?)"
"[reader,editor,publisher,architect,admin]",Closeness centrality is a way of detecting nodes that are able to spread information very efficiently through a graph.,READ,gds.alpha.closeness.stream,"gds.alpha.closeness.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeId :: INTEGER?, centrality :: FLOAT?)"
"[editor,publisher,architect,admin]",Closeness centrality is a way of detecting nodes that are able to spread information very efficiently through a graph.,WRITE,gds.alpha.closeness.write,"gds.alpha.closeness.write(graphName :: ANY?, configuration = {} :: MAP?) :: (nodes :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, writeProperty :: STRING?, centralityDistribution :: MAP?)"
"[reader,editor,publisher,architect,admin]","",READ,gds.alpha.collapsePath.mutate,"gds.alpha.collapsePath.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, mutateMillis :: INTEGER?, relationshipsWritten :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]","BFS is a traversal algorithm, which explores all of the neighbor nodes at the present depth prior to moving on to the nodes at the next depth level.",READ,gds.alpha.dfs.stream,"gds.alpha.dfs.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (startNodeId :: INTEGER?, nodeIds :: LIST? OF INTEGER?, path :: PATH?)"
"[reader,editor,publisher,architect,admin]",Eigenvector Centrality measures the transitive influence or connectivity of nodes.,READ,gds.alpha.eigenvector.stream,"gds.alpha.eigenvector.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeId :: INTEGER?, score :: FLOAT?)"
